peak_date,trough_date,recovery_date,depth,recovery_days,strategy
2015-06-03,2015-07-08,2015-10-23,-0.2579467007454501,70.0,BASE_QM20
2025-10-17,2026-04-03,2026-06-01,-0.2550525083613103,37.0,BASE_QM20
2024-10-08,2024-10-17,2025-07-22,-0.25504107542942467,186.0,BASE_QM20
2015-10-27,2016-01-05,2017-03-06,-0.2444509762898026,282.0,BASE_QM20
2020-02-13,2020-03-17,2020-07-09,-0.21739980673590276,76.0,BASE_QM20
2020-09-03,2021-03-08,2021-07-07,-0.17333360905179496,82.0,BASE_QM20
2019-03-12,2019-05-14,2019-08-26,-0.150458054555758,73.0,BASE_QM20
2022-03-09,2022-05-24,2022-06-24,-0.13769507655339053,22.0,BASE_QM20
2023-07-19,2023-12-05,2024-03-18,-0.1370867766835273,67.0,BASE_QM20
2020-07-13,2020-08-12,2020-08-27,-0.1309739708311879,11.0,BASE_QM20
2025-10-17,2026-04-03,,-0.23640205272208825,,COND_SAFE_T75_W50
2024-10-08,2024-11-18,2025-07-21,-0.2341369908237102,163.0,COND_SAFE_T75_W50
2020-09-03,2021-03-09,2022-03-08,-0.21552406980793992,242.0,COND_SAFE_T75_W50
2015-10-27,2016-01-05,2017-06-21,-0.21345189661862907,354.0,COND_SAFE_T75_W50
2020-02-13,2020-03-17,2020-07-08,-0.19597471447555959,75.0,COND_SAFE_T75_W50
2015-06-03,2015-07-08,2015-10-20,-0.18274472406926978,67.0,COND_SAFE_T75_W50
2022-03-09,2022-05-24,2022-06-24,-0.1376950765533903,22.0,COND_SAFE_T75_W50
2018-01-24,2018-02-06,2018-06-21,-0.12053258050349147,87.0,COND_SAFE_T75_W50
2020-01-17,2020-02-03,2020-02-10,-0.11660044776877543,5.0,COND_SAFE_T75_W50
2023-07-19,2023-12-05,2024-03-11,-0.11630880485675643,62.0,COND_SAFE_T75_W50
