date,gross_daily_return,net_daily_return,turnover,holding_asset
2014-02-07,0.03239145416953826,0.032291454169538256,1.0,159915.SZ
2014-02-10,0.012016021361815676,0.012016021361815676,0.0,159915.SZ
2014-02-11,-0.0158311345646438,-0.0158311345646438,0.0,159915.SZ
2014-02-12,0.009383378016085908,0.009383378016085908,0.0,159915.SZ
2014-02-13,-0.037184594953519334,-0.037184594953519334,0.0,159915.SZ
2014-02-14,0.020000000000000018,0.020000000000000018,0.0,159915.SZ
2014-02-17,0.028397565922920753,0.028397565922920753,0.0,159915.SZ
2014-02-18,-0.009204470742932291,-0.009204470742932291,0.0,159915.SZ
2014-02-19,-0.0006635700066356387,-0.0006635700066356387,0.0,159915.SZ
2014-02-20,-0.0021534359376127465,-0.0023534359376127466,2.0,518880.SH
2014-02-21,0.00623538581449723,0.00623538581449723,0.0,518880.SH
2014-02-24,0.006584043377227067,0.006584043377227067,0.0,518880.SH
2014-02-25,-0.04484397909239313,-0.045043979092393126,2.0,159915.SZ
2014-02-26,-0.0006983240223462639,-0.0006983240223462639,0.0,159915.SZ
2014-02-27,-0.03214535290006992,-0.03214535290006992,0.0,159915.SZ
2014-02-28,0.00020601537234155032,6.015372341550308e-06,2.0,518880.SH
2014-03-03,0.011446012972147868,0.011446012972147868,0.0,518880.SH
2014-03-04,-0.003017729158808047,-0.003017729158808047,0.0,518880.SH
2014-03-05,-0.007188800605372525,-0.007188800605372525,0.0,518880.SH
2014-03-06,-0.0003810975609755962,-0.0003810975609755962,0.0,518880.SH
2014-03-07,0.009912314144109757,0.009912314144109757,0.0,518880.SH
2014-03-10,-0.014722536806342057,-0.014722536806342057,0.0,518880.SH
2014-03-11,0.011877394636015337,0.011877394636015337,0.0,518880.SH
2014-03-12,0.010223400227186819,0.010223400227186819,0.0,518880.SH
2014-03-13,0.009745127436281864,0.009745127436281864,0.0,518880.SH
2014-03-14,-0.0007423904974015461,-0.0007423904974015461,0.0,518880.SH
2014-03-17,0.011144130757800852,0.011144130757800852,0.0,518880.SH
2014-03-18,-0.013225569434239581,-0.013225569434239581,0.0,518880.SH
2014-03-19,-0.0022338049143707517,-0.0022338049143707517,0.0,518880.SH
2014-03-20,-0.012313432835820981,-0.012313432835820981,0.0,518880.SH
2014-03-21,0.0,0.0,0.0,518880.SH
2014-03-24,-0.0026445032111823696,-0.0026445032111823696,0.0,518880.SH
2014-03-25,-0.012121212121212088,-0.012121212121212088,0.0,518880.SH
2014-03-26,0.0025116530537916404,0.0023116530537916403,2.0,510300.SH
