asset,name,sleeve,holding_days,average_weight_when_held,average_weight_all_days
513100.SH,纳指ETF,core,1037,0.9629086605866383,0.3254681489662138
518880.SH,黄金ETF,core,819,1.0,0.2669491525423729
159915.SZ,创业板ETF,core,744,0.9714333659506068,0.23557575758384988
510300.SH,沪深300ETF,core,468,0.9648032712297652,0.14717338035708286
510900.SH,易方达恒生中国企业ETF(QDII),overseas_broad,115,0.08897032468436779,0.00333493720296685
510050.SH,华夏上证50ETF,domestic_broad,176,0.054056094736107216,0.003101001523322969
510500.SH,南方中证500ETF,domestic_broad,85,0.09074394898726082,0.0025140924589039017
159995.SZ,华夏国证半导体芯片ETF,tmt,92,0.07493995715380185,0.002247221661717656
159949.SZ,华安创业板50ETF,domestic_broad,215,0.03103115272624999,0.0021746081604119127
510810.SH,汇添富中证上海国企ETF,domestic_broad,61,0.09879638670230662,0.0019643349376925368
159920.SZ,华夏恒生ETF(QDII),overseas_broad,30,0.1308550408337897,0.0012795473354021158
159869.SZ,华夏中证动漫游戏ETF,tmt,25,0.10904907772661251,0.0008886006985545349
159928.SZ,汇添富中证主要消费ETF,consumer,45,0.04971586355665725,0.0007292092112286754
159509.SZ,景顺长城纳斯达克科技市值加权ETF(QDII),tmt,30,0.06512597618434027,0.0006368250604726884
159781.SZ,易方达中证科创创业50ETF,domestic_broad,55,0.034055327234176466,0.0006105094517208949
159516.SZ,国泰中证半导体材料设备主题ETF,tmt,15,0.10629804089446795,0.0005197101086756907
588170.SH,华夏上证科创板半导体材料设备主题ETF,tmt,15,0.10488764679759698,0.0005128144400143266
510180.SH,华安上证180ETF,domestic_broad,60,0.02478465554846136,0.0004847064318473538
159792.SZ,富国中证港股通互联网ETF,tmt,20,0.0728518736610608,0.0004749144306457679
159870.SZ,鹏华中证细分化工产业主题ETF,cyclical,20,0.06737553513275563,0.00043921470099579944
159901.SZ,易方达深证100ETF,domestic_broad,55,0.02200725665944109,0.0003945238319000197
159992.SZ,银华中证创新药产业ETF,healthcare,15,0.06572990454894193,0.00032136524388335356
159570.SZ,汇添富国证港股通创新药ETF,healthcare,10,0.09796167952781397,0.00031930143261999335
159796.SZ,汇添富中证电池主题ETF,energy,10,0.07820702284512773,0.00025491206924748284
159841.SZ,天弘中证全指证券公司ETF,financial,5,0.15,0.0002444589308996089
159363.SZ,华宝创业板人工智能ETF,tmt,15,0.04265019284368972,0.00020852441090461074
159608.SZ,广发中证稀有金属主题ETF,cyclical,10,0.05809413375702834,0.0001893550643970937
159636.SZ,工银瑞信国证港股通科技ETF,tmt,5,0.1041263339123429,0.0001696974151113802
159326.SZ,华夏中证电网设备主题ETF,manufacturing,10,0.04660414600170107,0.00015190399609420164
513500.SH,博时标普500ETF(QDII),overseas_broad,5,0.07759733768966688,0.00012646241474847928
159819.SZ,易方达中证人工智能主题ETF,tmt,20,0.019230498310413197,0.0001253617882034759
512800.SH,华宝中证银行ETF,financial,5,0.0724026623103331,0.00011799651615112957
159852.SZ,嘉实中证软件服务ETF,tmt,5,0.064183219261476,0.00010460107441570402
159605.SZ,广发中证海外中国互联网30ETF(QDII),tmt,5,0.0615253505698702,0.00010026947615689406
159736.SZ,天弘中证食品饮料ETF,consumer,5,0.04971069783858917,8.10148269859667e-05
510230.SH,国泰上证180金融ETF,financial,5,0.007095820233497694,1.1564244187577729e-05
512710.SH,富国中证军工龙头ETF,defense,0,0.0,0.0
512760.SH,国泰CES半导体芯片行业ETF,tmt,0,0.0,0.0
562800.SH,嘉实中证稀有金属主题ETF,cyclical,0,0.0,0.0
516650.SH,华夏中证细分有色金属产业主题ETF,cyclical,0,0.0,0.0
516150.SH,嘉实中证稀土产业ETF,cyclical,0,0.0,0.0
159766.SZ,富国中证旅游主题ETF,consumer,0,0.0,0.0
515790.SH,华泰柏瑞中证光伏产业ETF,energy,0,0.0,0.0
515220.SH,国泰中证煤炭ETF,cyclical,0,0.0,0.0
512660.SH,国泰中证军工ETF,defense,0,0.0,0.0
515980.SH,华富中证人工智能产业ETF,tmt,0,0.0,0.0
560860.SH,万家中证工业有色金属主题ETF,cyclical,0,0.0,0.0
512690.SH,鹏华中证酒ETF,consumer,0,0.0,0.0
588220.SH,鹏华上证科创板100ETF,domestic_broad,0,0.0,0.0
563300.SH,华泰柏瑞中证2000ETF,domestic_broad,0,0.0,0.0
159883.SZ,永赢中证全指医疗器械ETF,healthcare,0,0.0,0.0
512950.SH,华夏中证央企结构调整ETF,domestic_broad,0,0.0,0.0
516160.SH,南方中证新能源ETF,energy,0,0.0,0.0
159338.SZ,国泰中证A500ETF,domestic_broad,0,0.0,0.0
159361.SZ,易方达中证A500ETF,domestic_broad,0,0.0,0.0
159262.SZ,广发恒生港股通科技主题ETF,tmt,0,0.0,0.0
515800.SH,汇添富中证800ETF,domestic_broad,0,0.0,0.0
515230.SH,国泰中证全指软件ETF,tmt,0,0.0,0.0
159316.SZ,易方达恒生港股通创新药ETF,healthcare,0,0.0,0.0
512070.SH,易方达沪深300非银行金融ETF,financial,0,0.0,0.0
159263.SZ,易方达国证价值100ETF,domestic_broad,0,0.0,0.0
159652.SZ,汇添富中证细分有色金属产业主题ETF,cyclical,0,0.0,0.0
159601.SZ,华夏MSCI中国A50互联互通ETF,overseas_broad,0,0.0,0.0
561380.SH,国泰恒生A股电网设备ETF,manufacturing,0,0.0,0.0
561980.SH,招商中证半导体产业ETF,tmt,0,0.0,0.0
159842.SZ,银华中证全指证券公司ETF,financial,0,0.0,0.0
513060.SH,博时恒生医疗保健ETF(QDII),healthcare,0,0.0,0.0
513310.SH,华泰柏瑞中证韩交所中韩半导体ETF(QDII),tmt,0,0.0,0.0
513180.SH,华夏恒生科技ETF(QDII),tmt,0,0.0,0.0
512010.SH,易方达沪深300医药卫生ETF,healthcare,0,0.0,0.0
159530.SZ,易方达国证机器人产业ETF,manufacturing,0,0.0,0.0
159566.SZ,易方达国证新能源电池ETF,energy,0,0.0,0.0
159611.SZ,广发中证全指电力公用事业ETF,utility,0,0.0,0.0
159206.SZ,永赢国证商用卫星通信产业ETF,tmt,0,0.0,0.0
159892.SZ,华夏恒生生物科技ETF(QDII),healthcare,0,0.0,0.0
159593.SZ,平安中证A50ETF,domestic_broad,0,0.0,0.0
159770.SZ,天弘中证机器人ETF,manufacturing,0,0.0,0.0
159851.SZ,华宝中证金融科技主题ETF,financial,0,0.0,0.0
159352.SZ,南方中证A500ETF,domestic_broad,0,0.0,0.0
159740.SZ,大成恒生科技ETF(QDII),tmt,0,0.0,0.0
159755.SZ,广发国证新能源车电池ETF,energy,0,0.0,0.0
159938.SZ,广发中证全指医药卫生ETF,healthcare,0,0.0,0.0
159865.SZ,国泰中证畜牧养殖ETF,consumer,0,0.0,0.0
510210.SH,富国上证综指ETF,domestic_broad,0,0.0,0.0
159845.SZ,华夏中证1000ETF,domestic_broad,0,0.0,0.0
159967.SZ,华夏创业板动量成长ETF,domestic_broad,0,0.0,0.0
588000.SH,华夏上证科创板50成份ETF,domestic_broad,0,0.0,0.0
513980.SH,景顺长城中证港股通科技ETF,tmt,0,0.0,0.0
512170.SH,华宝中证医疗ETF,healthcare,0,0.0,0.0
562500.SH,华夏中证机器人ETF,manufacturing,0,0.0,0.0
513750.SH,广发中证港股通非银行金融主题ETF,financial,0,0.0,0.0
513090.SH,易方达中证香港证券投资主题ETF,financial,0,0.0,0.0
515050.SH,华夏中证5G通信主题ETF,tmt,0,0.0,0.0
512480.SH,国联安中证全指半导体产品与设备ETF,tmt,0,0.0,0.0
512400.SH,南方中证申万有色金属ETF,cyclical,0,0.0,0.0
513120.SH,广发中证香港创新药ETF(QDII),healthcare,0,0.0,0.0
588200.SH,嘉实上证科创板芯片ETF,tmt,0,0.0,0.0
513330.SH,华夏恒生互联网科技业ETF(QDII),tmt,0,0.0,0.0
512100.SH,南方中证1000ETF,domestic_broad,0,0.0,0.0
513050.SH,易方达中证海外中国互联网50ETF(QDII),tmt,0,0.0,0.0
563360.SH,华泰柏瑞中证A500ETF,domestic_broad,0,0.0,0.0
515880.SH,国泰中证全指通信设备ETF,tmt,0,0.0,0.0
512880.SH,国泰中证全指证券公司ETF,financial,0,0.0,0.0
159732.SZ,华夏国证消费电子主题ETF,consumer,0,0.0,0.0
