日期,时间,合约代码,最新价,仓位,多/空,持仓成本价,市值,累计盈亏
2014-01-02,15:30:00,513100.SS,1.169,83800,多,1.169,97962.200,-16.760
2014-01-03,15:30:00,513100.SS,1.161,83800,多,1.169,97291.800,-687.160
2014-01-06,15:30:00,513100.SS,1.157,0,多,0.000,0.000,0.000
2014-01-06,15:30:00,159915.SZ,1.299,74600,多,1.299,96905.400,-22.380
2014-01-07,15:30:00,159915.SZ,1.324,74600,多,1.299,98770.400,1842.620
2014-01-08,15:30:00,159915.SZ,1.375,74600,多,1.299,102575.000,5647.220
2014-01-09,15:30:00,159915.SZ,1.348,74600,多,1.299,100560.800,3633.020
2014-01-10,15:30:00,159915.SZ,1.324,74600,多,1.299,98770.400,1842.620
2014-01-13,15:30:00,159915.SZ,1.336,0,多,0.000,0.000,0.000
2014-01-13,15:30:00,513100.SS,1.170,85100,多,1.170,99567.000,-17.020
2014-01-14,15:30:00,513100.SS,1.157,85100,多,1.170,98460.700,-1123.320
2014-01-15,15:30:00,513100.SS,1.168,0,多,0.000,0.000,0.000
2014-01-15,15:30:00,159915.SZ,1.390,71500,多,1.390,99385.000,-21.450
2014-01-16,15:30:00,159915.SZ,1.371,71500,多,1.390,98026.500,-1379.950
2014-01-17,15:30:00,159915.SZ,1.367,71500,多,1.390,97740.500,-1665.950
2014-01-20,15:30:00,159915.SZ,1.342,71500,多,1.390,95953.000,-3453.450
2014-01-21,15:30:00,159915.SZ,1.381,71500,多,1.390,98741.500,-664.950
2014-01-22,15:30:00,159915.SZ,1.399,71500,多,1.390,100028.500,622.050
2014-01-23,15:30:00,159915.SZ,1.430,71500,多,1.390,102245.000,2838.550
2014-01-24,15:30:00,159915.SZ,1.453,71500,多,1.390,103889.500,4483.050
2014-01-27,15:30:00,159915.SZ,1.445,71500,多,1.390,103317.500,3911.050
2014-01-28,15:30:00,159915.SZ,1.441,71500,多,1.390,103031.500,3625.050
2014-01-29,15:30:00,159915.SZ,1.466,71500,多,1.390,104819.000,5412.550
2014-01-30,15:30:00,159915.SZ,1.463,71500,多,1.390,104604.500,5198.050
2014-02-07,15:30:00,159915.SZ,1.498,71500,多,1.390,107107.000,7700.550
2014-02-10,15:30:00,159915.SZ,1.516,71500,多,1.390,108394.000,8987.550
2014-02-11,15:30:00,159915.SZ,1.492,71500,多,1.390,106678.000,7271.550
2014-02-12,15:30:00,159915.SZ,1.506,71500,多,1.390,107679.000,8272.550
2014-02-13,15:30:00,159915.SZ,1.450,71500,多,1.390,103675.000,4268.550
2014-02-14,15:30:00,159915.SZ,1.479,71500,多,1.390,105748.500,6342.050
2014-02-17,15:30:00,159915.SZ,1.521,71500,多,1.390,108751.500,9345.050
2014-02-18,15:30:00,159915.SZ,1.507,71500,多,1.390,107750.500,8344.050
2014-02-19,15:30:00,159915.SZ,1.506,71500,多,1.390,107679.000,8272.550
2014-02-20,15:30:00,159915.SZ,1.483,0,多,0.000,0.000,0.000
2014-02-20,15:30:00,518880.SS,2.566,41200,多,2.567,105719.200,-20.600
2014-02-21,15:30:00,518880.SS,2.582,41200,多,2.567,106378.400,638.600
2014-02-24,15:30:00,518880.SS,2.599,41200,多,2.567,107078.800,1339.000
2014-02-25,15:30:00,518880.SS,2.612,0,多,0.000,0.000,0.000
2014-02-25,15:30:00,159915.SZ,1.432,75200,多,1.432,107686.400,-22.560
2014-02-26,15:30:00,159915.SZ,1.431,75200,多,1.432,107611.200,-97.760
2014-02-27,15:30:00,159915.SZ,1.385,0,多,0.000,0.000,0.000
2014-02-27,15:30:00,518880.SS,2.602,40000,多,2.603,104080.000,-20.000
2014-02-28,15:30:00,518880.SS,2.621,40000,多,2.603,104840.000,740.000
2014-03-03,15:30:00,518880.SS,2.651,40000,多,2.603,106040.000,1940.000
2014-03-04,15:30:00,518880.SS,2.643,40000,多,2.603,105720.000,1620.000
2014-03-05,15:30:00,518880.SS,2.624,40000,多,2.603,104960.000,860.000
2014-03-06,15:30:00,518880.SS,2.623,40000,多,2.603,104920.000,820.000
2014-03-07,15:30:00,518880.SS,2.649,40000,多,2.603,105960.000,1860.000
2014-03-10,15:30:00,518880.SS,2.610,40000,多,2.603,104400.000,300.000
2014-03-11,15:30:00,518880.SS,2.641,40000,多,2.603,105640.000,1540.000
2014-03-12,15:30:00,518880.SS,2.668,40000,多,2.603,106720.000,2620.000
2014-03-13,15:30:00,518880.SS,2.694,40000,多,2.603,107760.000,3660.000
2014-03-14,15:30:00,518880.SS,2.692,40000,多,2.603,107680.000,3580.000
2014-03-17,15:30:00,518880.SS,2.722,40000,多,2.603,108880.000,4780.000
2014-03-18,15:30:00,518880.SS,2.686,40000,多,2.603,107440.000,3340.000
2014-03-19,15:30:00,518880.SS,2.680,40000,多,2.603,107200.000,3100.000
2014-03-20,15:30:00,518880.SS,2.647,40000,多,2.603,105880.000,1780.000
2014-03-21,15:30:00,518880.SS,2.647,40000,多,2.603,105880.000,1780.000
2014-03-24,15:30:00,518880.SS,2.640,40000,多,2.603,105600.000,1500.000
2014-03-25,15:30:00,518880.SS,2.608,40000,多,2.603,104320.000,220.000
2014-03-26,15:30:00,518880.SS,2.614,0,多,0.000,0.000,0.000
2014-03-26,15:30:00,510300.SS,2.166,48300,多,2.166,104617.800,-19.320
2014-03-27,15:30:00,510300.SS,2.151,48300,多,2.166,103893.300,-743.820
2014-03-28,15:30:00,510300.SS,2.150,48300,多,2.166,103845.000,-792.120
2014-03-31,15:30:00,510300.SS,2.141,48300,多,2.166,103410.300,-1226.820
2014-04-01,15:30:00,510300.SS,2.153,48300,多,2.166,103989.900,-647.220
2014-04-02,15:30:00,510300.SS,2.170,48300,多,2.166,104811.000,173.880
2014-04-03,15:30:00,510300.SS,2.155,48300,多,2.166,104086.500,-550.620
2014-04-04,15:30:00,510300.SS,2.181,48300,多,2.166,105342.300,705.180
2014-04-08,15:30:00,510300.SS,2.233,48300,多,2.166,107853.900,3216.780
2014-04-09,15:30:00,510300.SS,2.229,48300,多,2.166,107660.700,3023.580
2014-04-10,15:30:00,510300.SS,2.265,48300,多,2.166,109399.500,4762.380
2014-04-11,15:30:00,510300.SS,2.264,48300,多,2.166,109351.200,4714.080
2014-04-14,15:30:00,510300.SS,2.263,48300,多,2.166,109302.900,4665.780
2014-04-15,15:30:00,510300.SS,2.223,48300,多,2.166,107370.900,2733.780
2014-04-16,15:30:00,510300.SS,2.223,48300,多,2.166,107370.900,2733.780
2014-04-17,15:30:00,510300.SS,2.219,48300,多,2.166,107177.700,2540.580
2014-04-18,15:30:00,510300.SS,2.215,48300,多,2.166,106984.500,2347.380
2014-04-21,15:30:00,510300.SS,2.175,48300,多,2.166,105052.500,415.380
2014-04-22,15:30:00,510300.SS,2.190,48300,多,2.166,105777.000,1139.880
2014-04-23,15:30:00,510300.SS,2.184,48300,多,2.166,105487.200,850.080
2014-04-24,15:30:00,510300.SS,2.188,48300,多,2.166,105680.400,1043.280
2014-04-25,15:30:00,510300.SS,2.161,48300,多,2.166,104376.300,-260.820
2014-04-28,15:30:00,510300.SS,2.131,0,多,0.000,0.000,0.000
2014-04-28,15:30:00,518880.SS,2.631,39100,多,2.632,102872.100,-19.550
2014-04-29,15:30:00,518880.SS,2.603,39100,多,2.632,101777.300,-1114.350
2014-04-30,15:30:00,518880.SS,2.612,39100,多,2.632,102129.200,-762.450
2014-05-05,15:30:00,518880.SS,2.624,39100,多,2.632,102598.400,-293.250
2014-05-06,15:30:00,518880.SS,2.626,39100,多,2.632,102676.600,-215.050
2014-05-07,15:30:00,518880.SS,2.625,39100,多,2.632,102637.500,-254.150
2014-05-08,15:30:00,518880.SS,2.587,39100,多,2.632,101151.700,-1739.950
2014-05-09,15:30:00,518880.SS,2.588,0,多,0.000,0.000,0.000
2014-05-09,15:30:00,513100.SS,1.159,87300,多,1.159,101180.700,-17.460
2014-05-12,15:30:00,513100.SS,1.164,87300,多,1.159,101617.200,419.040
2014-05-13,15:30:00,513100.SS,1.186,0,多,0.000,0.000,0.000
2014-05-13,15:30:00,518880.SS,2.595,39800,多,2.596,103281.000,-19.900
2014-05-14,15:30:00,518880.SS,2.598,39800,多,2.596,103400.400,99.500
2014-05-15,15:30:00,518880.SS,2.610,0,多,0.000,0.000,0.000
2014-05-15,15:30:00,513100.SS,1.186,87700,多,1.186,104012.200,-17.540
2014-05-16,15:30:00,513100.SS,1.179,87700,多,1.186,103398.300,-631.440
2014-05-19,15:30:00,513100.SS,1.182,87700,多,1.186,103661.400,-368.340
2014-05-20,15:30:00,513100.SS,1.190,87700,多,1.186,104363.000,333.260
2014-05-21,15:30:00,513100.SS,1.183,87700,多,1.186,103749.100,-280.640
2014-05-22,15:30:00,513100.SS,1.197,87700,多,1.186,104976.900,947.160
2014-05-23,15:30:00,513100.SS,1.202,87700,多,1.186,105415.400,1385.660
2014-05-26,15:30:00,513100.SS,1.211,87700,多,1.186,106204.700,2174.960
2014-05-27,15:30:00,513100.SS,1.216,87700,多,1.186,106643.200,2613.460
2014-05-28,15:30:00,513100.SS,1.229,87700,多,1.186,107783.300,3753.560
2014-05-29,15:30:00,513100.SS,1.224,87700,多,1.186,107344.800,3315.060
2014-05-30,15:30:00,513100.SS,1.239,87700,多,1.186,108660.300,4630.560
2014-06-03,15:30:00,513100.SS,1.236,87700,多,1.186,108397.200,4367.460
2014-06-04,15:30:00,513100.SS,1.233,87700,多,1.186,108134.100,4104.360
2014-06-05,15:30:00,513100.SS,1.242,87700,多,1.186,108923.400,4893.660
2014-06-06,15:30:00,513100.SS,1.255,87700,多,1.186,110063.500,6033.760
2014-06-09,15:30:00,513100.SS,1.256,87700,多,1.186,110151.200,6121.460
2014-06-10,15:30:00,513100.SS,1.249,87700,多,1.186,109537.300,5507.560
2014-06-11,15:30:00,513100.SS,1.255,87700,多,1.186,110063.500,6033.760
2014-06-12,15:30:00,513100.SS,1.248,87700,多,1.186,109449.600,5419.860
2014-06-13,15:30:00,513100.SS,1.241,87700,多,1.186,108835.700,4805.960
2014-06-16,15:30:00,513100.SS,1.239,0,多,0.000,0.000,0.000
2014-06-16,15:30:00,159915.SZ,1.363,79600,多,1.363,108494.800,-23.880
2014-06-17,15:30:00,159915.SZ,1.350,79600,多,1.363,107460.000,-1058.680
2014-06-18,15:30:00,159915.SZ,1.337,79600,多,1.363,106425.200,-2093.480
2014-06-19,15:30:00,159915.SZ,1.291,79600,多,1.363,102763.600,-5755.080
2014-06-20,15:30:00,159915.SZ,1.305,0,多,0.000,0.000,0.000
2014-06-20,15:30:00,513100.SS,1.254,82900,多,1.254,103956.600,-24.870
2014-06-23,15:30:00,513100.SS,1.256,82900,多,1.254,104122.400,140.930
2014-06-24,15:30:00,513100.SS,1.256,82900,多,1.254,104122.400,140.930
2014-06-25,15:30:00,513100.SS,1.254,82900,多,1.254,103956.600,-24.870
2014-06-26,15:30:00,513100.SS,1.264,82900,多,1.254,104785.600,804.130
2014-06-27,15:30:00,513100.SS,1.268,0,多,0.000,0.000,0.000
2014-06-27,15:30:00,518880.SS,2.634,39900,多,2.635,105096.600,-19.950
2014-06-30,15:30:00,518880.SS,2.629,39900,多,2.635,104897.100,-219.450
2014-07-01,15:30:00,518880.SS,2.638,39900,多,2.635,105256.200,139.650
2014-07-02,15:30:00,518880.SS,2.644,39900,多,2.635,105495.600,379.050
2014-07-03,15:30:00,518880.SS,2.638,39900,多,2.635,105256.200,139.650
2014-07-04,15:30:00,518880.SS,2.635,39900,多,2.635,105136.500,19.950
2014-07-07,15:30:00,518880.SS,2.617,39900,多,2.635,104418.300,-698.250
2014-07-08,15:30:00,518880.SS,2.629,0,多,0.000,0.000,0.000
2014-07-08,15:30:00,513100.SS,1.304,80400,多,1.304,104841.600,-24.120
2014-07-09,15:30:00,513100.SS,1.284,80400,多,1.304,103233.600,-1632.120
2014-07-10,15:30:00,513100.SS,1.291,0,多,0.000,0.000,0.000
2014-07-10,15:30:00,518880.SS,2.645,39200,多,2.646,103684.000,-19.600
2014-07-11,15:30:00,518880.SS,2.669,39200,多,2.646,104624.800,921.200
2014-07-14,15:30:00,518880.SS,2.630,39200,多,2.646,103096.000,-607.600
2014-07-15,15:30:00,518880.SS,2.610,0,多,0.000,0.000,0.000
2014-07-15,15:30:00,513100.SS,1.301,78700,多,1.301,102388.700,-23.610
2014-07-16,15:30:00,513100.SS,1.296,78700,多,1.301,101995.200,-417.110
2014-07-17,15:30:00,513100.SS,1.300,78700,多,1.301,102310.000,-102.310
2014-07-18,15:30:00,513100.SS,1.290,78700,多,1.301,101523.000,-889.310
2014-07-21,15:30:00,513100.SS,1.302,0,多,0.000,0.000,0.000
2014-07-21,15:30:00,510300.SS,2.202,46500,多,2.202,102393.000,-18.600
2014-07-22,15:30:00,510300.SS,2.228,46500,多,2.202,103602.000,1190.400
2014-07-23,15:30:00,510300.SS,2.232,46500,多,2.202,103788.000,1376.400
2014-07-24,15:30:00,510300.SS,2.280,46500,多,2.202,106020.000,3608.400
2014-07-25,15:30:00,510300.SS,2.306,46500,多,2.202,107229.000,4817.400
2014-07-28,15:30:00,510300.SS,2.368,46500,多,2.202,110112.000,7700.400
2014-07-29,15:30:00,510300.SS,2.374,46500,多,2.202,110391.000,7979.400
2014-07-30,15:30:00,510300.SS,2.366,46500,多,2.202,110019.000,7607.400
2014-07-31,15:30:00,510300.SS,2.398,46500,多,2.202,111507.000,9095.400
2014-08-01,15:30:00,510300.SS,2.369,46500,多,2.202,110158.500,7746.900
2014-08-04,15:30:00,510300.SS,2.420,46500,多,2.202,112530.000,10118.400
2014-08-05,15:30:00,510300.SS,2.413,46500,多,2.202,112204.500,9792.900
2014-08-06,15:30:00,510300.SS,2.398,46500,多,2.202,111507.000,9095.400
2014-08-07,15:30:00,510300.SS,2.372,46500,多,2.202,110298.000,7886.400
2014-08-08,15:30:00,510300.SS,2.373,46500,多,2.202,110344.500,7932.900
2014-08-11,15:30:00,510300.SS,2.406,46500,多,2.202,111879.000,9467.400
2014-08-12,15:30:00,510300.SS,2.396,46500,多,2.202,111414.000,9002.400
2014-08-13,15:30:00,510300.SS,2.403,46500,多,2.202,111739.500,9327.900
2014-08-14,15:30:00,510300.SS,2.374,46500,多,2.202,110391.000,7979.400
2014-08-15,15:30:00,510300.SS,2.404,46500,多,2.202,111786.000,9374.400
2014-08-18,15:30:00,510300.SS,2.412,46500,多,2.202,112158.000,9746.400
2014-08-19,15:30:00,510300.SS,2.414,46500,多,2.202,112251.000,9839.400
2014-08-20,15:30:00,510300.SS,2.405,46500,多,2.202,111832.500,9420.900
2014-08-21,15:30:00,510300.SS,2.396,0,多,0.000,0.000,0.000
2014-08-21,15:30:00,159915.SZ,1.415,78600,多,1.415,111219.000,-23.580
2014-08-22,15:30:00,159915.SZ,1.429,78600,多,1.415,112319.400,1076.820
2014-08-25,15:30:00,159915.SZ,1.408,78600,多,1.415,110668.800,-573.780
2014-08-26,15:30:00,159915.SZ,1.377,78600,多,1.415,108232.200,-3010.380
2014-08-27,15:30:00,159915.SZ,1.388,78600,多,1.415,109096.800,-2145.780
2014-08-28,15:30:00,159915.SZ,1.370,78600,多,1.415,107682.000,-3560.580
2014-08-29,15:30:00,159915.SZ,1.394,78600,多,1.415,109568.400,-1674.180
2014-09-01,15:30:00,159915.SZ,1.417,78600,多,1.415,111376.200,133.620
2014-09-02,15:30:00,159915.SZ,1.430,78600,多,1.415,112398.000,1155.420
2014-09-03,15:30:00,159915.SZ,1.439,78600,多,1.415,113105.400,1862.820
2014-09-04,15:30:00,159915.SZ,1.457,0,多,0.000,0.000,0.000
2014-09-04,15:30:00,513100.SS,1.341,85300,多,1.341,114387.300,-25.590
2014-09-05,15:30:00,513100.SS,1.339,85300,多,1.341,114216.700,-196.190
2014-09-09,15:30:00,513100.SS,1.348,0,多,0.000,0.000,0.000
2014-09-09,15:30:00,159915.SZ,1.458,78800,多,1.458,114890.400,-23.640
2014-09-10,15:30:00,159915.SZ,1.467,78800,多,1.458,115599.600,685.560
2014-09-11,15:30:00,159915.SZ,1.471,78800,多,1.458,115914.800,1000.760
2014-09-12,15:30:00,159915.SZ,1.483,78800,多,1.458,116860.400,1946.360
2014-09-15,15:30:00,159915.SZ,1.483,78800,多,1.458,116860.400,1946.360
2014-09-16,15:30:00,159915.SZ,1.438,78800,多,1.458,113314.400,-1599.640
2014-09-17,15:30:00,159915.SZ,1.440,78800,多,1.458,113472.000,-1442.040
2014-09-18,15:30:00,159915.SZ,1.456,78800,多,1.458,114732.800,-181.240
2014-09-19,15:30:00,159915.SZ,1.460,78800,多,1.458,115048.000,133.960
2014-09-22,15:30:00,159915.SZ,1.442,0,多,0.000,0.000,0.000
2014-09-22,15:30:00,510300.SS,2.420,46900,多,2.421,113498.000,-23.450
2014-09-23,15:30:00,510300.SS,2.445,46900,多,2.421,114670.500,1149.050
2014-09-24,15:30:00,510300.SS,2.492,0,多,0.000,0.000,0.000
2014-09-24,15:30:00,159915.SZ,1.479,79100,多,1.479,116988.900,-23.730
2014-09-25,15:30:00,159915.SZ,1.469,79100,多,1.479,116197.900,-814.730
2014-09-26,15:30:00,159915.SZ,1.472,79100,多,1.479,116435.200,-577.430
2014-09-29,15:30:00,159915.SZ,1.489,79100,多,1.479,117779.900,767.270
2014-09-30,15:30:00,159915.SZ,1.500,79100,多,1.479,118650.000,1637.370
2014-10-08,15:30:00,159915.SZ,1.515,79100,多,1.479,119836.500,2823.870
2014-10-09,15:30:00,159915.SZ,1.519,79100,多,1.479,120152.900,3140.270
2014-10-10,15:30:00,159915.SZ,1.512,79100,多,1.479,119599.200,2586.570
2014-10-13,15:30:00,159915.SZ,1.505,79100,多,1.479,119045.500,2032.870
2014-10-14,15:30:00,159915.SZ,1.493,79100,多,1.479,118096.300,1083.670
2014-10-15,15:30:00,159915.SZ,1.502,79100,多,1.479,118808.200,1795.570
2014-10-16,15:30:00,159915.SZ,1.482,79100,多,1.479,117226.200,213.570
2014-10-17,15:30:00,159915.SZ,1.470,0,多,0.000,0.000,0.000
2014-10-17,15:30:00,510300.SS,2.480,46800,多,2.481,116064.000,-23.400
2014-10-20,15:30:00,510300.SS,2.491,46800,多,2.481,116578.800,491.400
2014-10-21,15:30:00,510300.SS,2.475,0,多,0.000,0.000,0.000
2014-10-21,15:30:00,159915.SZ,1.474,78600,多,1.474,115856.400,-23.580
2014-10-22,15:30:00,159915.SZ,1.464,78600,多,1.474,115070.400,-809.580
2014-10-23,15:30:00,159915.SZ,1.438,78600,多,1.474,113026.800,-2853.180
2014-10-24,15:30:00,159915.SZ,1.441,0,多,0.000,0.000,0.000
2014-10-24,15:30:00,518880.SS,2.431,46600,多,2.432,113284.600,-23.300
2014-10-27,15:30:00,518880.SS,2.427,46600,多,2.432,113098.200,-209.700
2014-10-28,15:30:00,518880.SS,2.422,46600,多,2.432,112865.200,-442.700
2014-10-29,15:30:00,518880.SS,2.428,0,多,0.000,0.000,0.000
2014-10-29,15:30:00,159915.SZ,1.489,76000,多,1.489,113164.000,-22.800
2014-10-30,15:30:00,159915.SZ,1.481,76000,多,1.489,112556.000,-630.800
2014-10-31,15:30:00,159915.SZ,1.473,0,多,0.000,0.000,0.000
2014-10-31,15:30:00,510300.SS,2.554,43800,多,2.555,111865.200,-21.900
2014-11-03,15:30:00,510300.SS,2.549,43800,多,2.555,111646.200,-240.900
2014-11-04,15:30:00,510300.SS,2.547,43800,多,2.555,111558.600,-328.500
2014-11-05,15:30:00,510300.SS,2.544,0,多,0.000,0.000,0.000
2014-11-05,15:30:00,513100.SS,1.354,82300,多,1.354,111434.200,-24.690
2014-11-06,15:30:00,513100.SS,1.354,82300,多,1.354,111434.200,-24.690
2014-11-07,15:30:00,513100.SS,1.363,82300,多,1.354,112174.900,716.010
2014-11-10,15:30:00,513100.SS,1.363,82300,多,1.354,112174.900,716.010
2014-11-11,15:30:00,513100.SS,1.363,82300,多,1.354,112174.900,716.010
2014-11-12,15:30:00,513100.SS,1.362,82300,多,1.354,112092.600,633.710
2014-11-13,15:30:00,513100.SS,1.364,82300,多,1.354,112257.200,798.310
2014-11-14,15:30:00,513100.SS,1.365,82300,多,1.354,112339.500,880.610
2014-11-17,15:30:00,513100.SS,1.368,82300,多,1.354,112586.400,1127.510
2014-11-18,15:30:00,513100.SS,1.368,82300,多,1.354,112586.400,1127.510
2014-11-19,15:30:00,513100.SS,1.385,82300,多,1.354,113985.500,2526.610
2014-11-20,15:30:00,513100.SS,1.372,82300,多,1.354,112915.600,1456.710
2014-11-21,15:30:00,513100.SS,1.378,82300,多,1.354,113409.400,1950.510
2014-11-24,15:30:00,513100.SS,1.370,0,多,0.000,0.000,0.000
2014-11-24,15:30:00,510300.SS,2.701,41700,多,2.702,112631.700,-20.850
2014-11-25,15:30:00,510300.SS,2.729,41700,多,2.702,113799.300,1146.750
2014-11-26,15:30:00,510300.SS,2.759,41700,多,2.702,115050.300,2397.750
2014-11-27,15:30:00,510300.SS,2.784,41700,多,2.702,116092.800,3440.250
2014-11-28,15:30:00,510300.SS,2.850,41700,多,2.702,118845.000,6192.450
2014-12-01,15:30:00,510300.SS,2.853,41700,多,2.702,118970.100,6317.550
2014-12-02,15:30:00,510300.SS,2.966,41700,多,2.702,123682.200,11029.650
2014-12-03,15:30:00,510300.SS,2.998,41700,多,2.702,125016.600,12364.050
2014-12-04,15:30:00,510300.SS,3.180,41700,多,2.702,132606.000,19953.450
2014-12-05,15:30:00,510300.SS,3.161,41700,多,2.702,131813.700,19161.150
2014-12-08,15:30:00,510300.SS,3.313,41700,多,2.702,138152.100,25499.550
2014-12-09,15:30:00,510300.SS,3.130,41700,多,2.702,130521.000,17868.450
2014-12-10,15:30:00,510300.SS,3.243,41700,多,2.702,135233.100,22580.550
2014-12-11,15:30:00,510300.SS,3.208,41700,多,2.702,133773.600,21121.050
2014-12-12,15:30:00,510300.SS,3.218,41700,多,2.702,134190.600,21538.050
2014-12-15,15:30:00,510300.SS,3.255,41700,多,2.702,135733.500,23080.950
2014-12-16,15:30:00,510300.SS,3.331,41700,多,2.702,138902.700,26250.150
2014-12-17,15:30:00,510300.SS,3.388,41700,多,2.702,141279.600,28627.050
2014-12-18,15:30:00,510300.SS,3.384,41700,多,2.702,141112.800,28460.250
2014-12-19,15:30:00,510300.SS,3.434,41700,多,2.702,143197.800,30545.250
2014-12-22,15:30:00,510300.SS,3.410,41700,多,2.702,142197.000,29544.450
2014-12-23,15:30:00,510300.SS,3.341,41700,多,2.702,139319.700,26667.150
2014-12-24,15:30:00,510300.SS,3.248,41700,多,2.702,135441.600,22789.050
2014-12-25,15:30:00,510300.SS,3.366,41700,多,2.702,140362.200,27709.650
2014-12-26,15:30:00,510300.SS,3.497,41700,多,2.702,145824.900,33172.350
2014-12-29,15:30:00,510300.SS,3.480,41700,多,2.702,145116.000,32463.450
2014-12-30,15:30:00,510300.SS,3.480,41700,多,2.702,145116.000,32463.450
2014-12-31,15:30:00,510300.SS,3.574,41700,多,2.702,149035.800,36383.250
2015-01-05,15:30:00,510300.SS,3.688,41700,多,2.702,153789.600,41137.050
2015-01-06,15:30:00,510300.SS,3.663,41700,多,2.702,152747.100,40094.550
2015-01-07,15:30:00,510300.SS,3.662,41700,多,2.702,152705.400,40052.850
2015-01-08,15:30:00,510300.SS,3.582,41700,多,2.702,149369.400,36716.850
2015-01-09,15:30:00,510300.SS,3.556,41700,多,2.702,148285.200,35632.650
2015-01-12,15:30:00,510300.SS,3.545,41700,多,2.702,147826.500,35173.950
2015-01-13,15:30:00,510300.SS,3.538,41700,多,2.702,147534.600,34882.050
2015-01-14,15:30:00,510300.SS,3.530,41700,多,2.702,147201.000,34548.450
2015-01-15,15:30:00,510300.SS,3.630,41700,多,2.702,151371.000,38718.450
2015-01-16,15:30:00,510300.SS,3.662,41700,多,2.702,152705.400,40052.850
2015-01-19,15:30:00,510300.SS,3.296,41700,多,2.702,137443.200,24790.650
2015-01-20,15:30:00,510300.SS,3.382,0,多,0.000,0.000,0.000
2015-01-20,15:30:00,518880.SS,2.570,55100,多,2.571,141607.000,-27.550
2015-01-21,15:30:00,518880.SS,2.620,55100,多,2.571,144362.000,2727.450
2015-01-22,15:30:00,518880.SS,2.589,0,多,0.000,0.000,0.000
2015-01-22,15:30:00,159915.SZ,1.683,84700,多,1.683,142550.100,-25.410
2015-01-23,15:30:00,159915.SZ,1.638,84700,多,1.683,138738.600,-3836.910
2015-01-26,15:30:00,159915.SZ,1.686,0,多,0.000,0.000,0.000
2015-01-26,15:30:00,518880.SS,2.609,54700,多,2.610,142712.300,-27.350
2015-01-27,15:30:00,518880.SS,2.589,54700,多,2.610,141618.300,-1121.350
2015-01-28,15:30:00,518880.SS,2.598,0,多,0.000,0.000,0.000
2015-01-28,15:30:00,159915.SZ,1.668,85200,多,1.668,142113.600,-25.560
2015-01-29,15:30:00,159915.SZ,1.652,85200,多,1.668,140750.400,-1388.760
2015-01-30,15:30:00,159915.SZ,1.623,85200,多,1.668,138279.600,-3859.560
2015-02-02,15:30:00,159915.SZ,1.639,85200,多,1.668,139642.800,-2496.360
2015-02-03,15:30:00,159915.SZ,1.693,85200,多,1.668,144243.600,2104.440
2015-02-04,15:30:00,159915.SZ,1.698,85200,多,1.668,144669.600,2530.440
2015-02-05,15:30:00,159915.SZ,1.709,85200,多,1.668,145606.800,3467.640
2015-02-06,15:30:00,159915.SZ,1.661,85200,多,1.668,141517.200,-621.960
2015-02-09,15:30:00,159915.SZ,1.645,85200,多,1.668,140154.000,-1985.160
2015-02-10,15:30:00,159915.SZ,1.685,85200,多,1.668,143562.000,1422.840
2015-02-11,15:30:00,159915.SZ,1.705,85200,多,1.668,145266.000,3126.840
2015-02-12,15:30:00,159915.SZ,1.720,85200,多,1.668,146544.000,4404.840
2015-02-13,15:30:00,159915.SZ,1.761,85200,多,1.668,150037.200,7898.040
2015-02-16,15:30:00,159915.SZ,1.830,85200,多,1.668,155916.000,13776.840
2015-02-17,15:30:00,159915.SZ,1.820,85200,多,1.668,155064.000,12924.840
2015-02-25,15:30:00,159915.SZ,1.803,85200,多,1.668,153615.600,11476.440
2015-02-26,15:30:00,159915.SZ,1.814,0,多,0.000,0.000,0.000
2015-02-26,15:30:00,513100.SS,1.444,106800,多,1.444,154219.200,-32.040
2015-02-27,15:30:00,513100.SS,1.449,106800,多,1.444,154753.200,501.960
2015-03-02,15:30:00,513100.SS,1.452,0,多,0.000,0.000,0.000
2015-03-02,15:30:00,159915.SZ,1.914,81000,多,1.914,155034.000,-32.400
2015-03-03,15:30:00,159915.SZ,1.883,81000,多,1.914,152523.000,-2543.400
2015-03-04,15:30:00,159915.SZ,1.940,81000,多,1.914,157140.000,2073.600
2015-03-05,15:30:00,159915.SZ,1.938,81000,多,1.914,156978.000,1911.600
2015-03-06,15:30:00,159915.SZ,1.880,81000,多,1.914,152280.000,-2786.400
2015-03-09,15:30:00,159915.SZ,1.927,81000,多,1.914,156087.000,1020.600
2015-03-10,15:30:00,159915.SZ,1.972,81000,多,1.914,159732.000,4665.600
2015-03-11,15:30:00,159915.SZ,1.960,81000,多,1.914,158760.000,3693.600
2015-03-12,15:30:00,159915.SZ,1.940,81000,多,1.914,157140.000,2073.600
2015-03-13,15:30:00,159915.SZ,1.992,81000,多,1.914,161352.000,6285.600
2015-03-16,15:30:00,159915.SZ,2.061,81000,多,1.914,166941.000,11874.600
2015-03-17,15:30:00,159915.SZ,2.053,81000,多,1.914,166293.000,11226.600
2015-03-18,15:30:00,159915.SZ,2.099,81000,多,1.914,170019.000,14952.600
2015-03-19,15:30:00,159915.SZ,2.095,81000,多,1.914,169695.000,14628.600
2015-03-20,15:30:00,159915.SZ,2.126,81000,多,1.914,172206.000,17139.600
2015-03-23,15:30:00,159915.SZ,2.206,81000,多,1.914,178686.000,23619.600
